FileNo,Date/time,Latitude,Longitude,Elevation
151,2022-05-09 00:38:55.472103,-51.75409605347907,-152.8045413178025,438.9317988819831
152,2022-05-09 00:39:10.101022,-51.70285758852965,-151.35307660750595,438.8963350215947
153,2022-05-09 00:39:24.768196,-51.632013329337134,-149.90186894834483,438.8519601168691
154,2022-05-09 00:39:39.432844,-51.54179611422864,-148.45621447004194,438.79879402141563
155,2022-05-09 00:39:54.097920,-51.43233251730648,-147.0171054262511,438.73686664654207
156,2022-05-09 00:40:08.761211,-51.30380404065633,-145.58591237311506,438.66623103628103
157,2022-05-09 00:40:23.374816,-51.15691808833668,-144.16838712498662,438.5872130610998
158,2022-05-09 00:40:38.036095,-50.990920629849995,-142.75622670456113,438.4993488140629
159,2022-05-09 00:40:52.694339,-50.80653611844312,-141.35536284486875,438.40296596614064
160,2022-05-09 00:41:07.596067,-50.60047670967193,-139.94351331964526,438.2963063730195
161,2022-05-09 00:41:22.509315,-50.375769721591546,-138.54395188969804,438.1808917769945
162,2022-05-09 00:41:37.183053,-50.136916815999,-137.1807375266768,438.0589457293649
163,2022-05-09 00:41:51.841787,-49.88105729951723,-135.83351166042323,437.9289204814243
164,2022-05-09 00:42:06.556700,-49.607192066078575,-134.4964069093468,437.790240957416
165,2022-05-09 00:42:21.458422,-49.312839289919495,-133.15867016140146,437.6415911302476
166,2022-05-09 00:42:36.132597,-49.00660204250062,-131.85794141137032,437.48724572377756
167,2022-05-09 00:42:51.048372,-48.679056421502224,-130.55321539569803,437.32238783079896
168,2022-05-09 00:43:05.712832,-48.34140938174258,-129.2879731048343,437.15259453645126
169,2022-05-09 00:43:20.633221,-47.98236871324434,-128.018832942909,436.9721261296057
170,2022-05-09 00:43:35.332575,-47.61375764911066,-126.78675723040863,436.78686970061096
171,2022-05-09 00:43:50.261682,-47.22464917668806,-125.5541759376798,436.5912810912112
172,2022-05-09 00:44:04.979251,-46.82692940344971,-124.3577758395856,436.3912885927617
173,2022-05-09 00:44:19.917717,-46.40928208537884,-123.16247445288252,436.1811603533629
